	Bayesian Skyline: cqHan_combine.log			
time	mean	median	upper	lower
22031.306307497084	279480.39805805625	277533.6132753448	342195.9819262847	227394.00468762877
22912.558559796966	279475.72360013606	277529.85483166145	342209.4222848452	227337.46371646062
23793.810812096850	279456.8773724909	277520.9917266909	342195.9819262847	227302.14131044902
24675.063064396732	279402.21196089743	277494.3922442774	342091.1320139811	227189.16095109482
25556.315316696615	279369.83185933303	277494.3922442774	341877.71748830867	227112.72401441782
26437.56756899650	279334.28655942105	277470.9057743605	341898.1703482702	226998.36547834481
27318.81982129638	279300.46414430224	277443.9492859874	342091.1320139811	226834.74097141429
28200.0720735963	279260.3160132653	277436.60211840784	341877.71748830867	226784.91758640888
29081.32432589615	279210.08997351344	277411.71589034045	341615.5651662697	226693.68348912065
29962.57657819603	279151.79838799534	277396.15201172914	341615.5651662697	226507.089382054
30843.82883049591	279054.16700562614	277297.8469266428	341527.26785102417	226173.02630455073
31725.08108279579	278904.8749609577	277191.51931961207	341441.56785691757	225740.47507753165
32606.33333509568	278789.52981655346	277126.05049328617	341393.5488202772	225256.84197136716
33487.58558739556	278670.22388757206	277080.30884579394	341232.81751134543	224964.07795465708
34368.83783969544	278603.090431789	277028.85133355967	341232.81751134543	224604.4278102022
35250.09009199532	278572.62766936596	277022.0192832976	341168.15627783304	224547.96398960016
36131.34234429521	278570.7044180362	277022.0192832976	341168.15627783304	224547.96398960016
37012.5945965951	278587.63149524305	277021.48480676964	341232.81751134543	224531.55649729422
37893.84684889497	278569.16663406586	277004.59413091507	341168.15627783304	224495.5646284347
38775.099101194857	278573.79300224176	277004.59413091507	341242.0273863814	224481.2870879222
39656.351353494740	278579.36287393974	277006.5074787973	341242.0273863814	224481.2870879222
40537.603605794622	278546.0779350488	277004.35200967605	341242.0273863814	224320.81773208824
41418.855858094506	278525.64688746	276995.3824861714	341242.0273863814	224257.24938729886
42300.10811039440	278500.4547981894	276993.6002877087	341357.37966151175	224068.55944566356
43181.36036269428	278318.2756085244	276930.31656574534	341357.37966151175	223340.2570890171
44062.612614994167	277999.7235102909	276864.1546839919	341406.77458744793	222118.5779042129
44943.86486729406	277047.3238470424	276764.7950831394	341393.5488202772	219729.45081583978
45825.11711959394	272111.36863853637	276061.51997583575	341232.81751134543	90797.91297974017
46706.369371893830	254617.5615384796	273417.94606973534	340506.89250830037	20864.702074975703
47587.62162419372	203517.00757015645	261774.38728260496	337224.06279839756	15983.839589848649
48468.873876493605	115738.70152488147	28645.690098419207	325986.5538500562	13855.628574933293
49350.1261287935	46711.08633997905	22839.57001181082	296295.0794713909	12962.252699710662
50231.37838109338	25141.47018825027	21906.7052026005	42869.20981470429	12755.518223088315
51112.630633393267	23240.039459265412	21832.84090227918	40997.16405671737	12771.009039850504
51993.88288569316	23130.289634294815	21833.728910781647	40731.93711932868	12771.009039850504
52875.13513799304	23144.555927824684	21854.040283094986	40736.92544907054	12775.665172111305
53756.38739029293	23144.061951917476	21848.85701391003	40736.92544907054	12778.273189936286
54637.63964259282	23140.8744091341	21848.85701391003	40731.93711932868	12778.273189936286
55518.891894892705	23140.8744091341	21848.85701391003	40731.93711932868	12778.273189936286
56400.14414719259	23140.8744091341	21848.85701391003	40731.93711932868	12778.273189936286
57281.39639949248	23140.8744091341	21848.85701391003	40731.93711932868	12778.273189936286
58162.64865179237	23140.8744091341	21848.85701391003	40731.93711932868	12778.273189936286
59043.90090409225	23140.8744091341	21848.85701391003	40731.93711932868	12778.273189936286
59925.153156392141	23140.8744091341	21848.85701391003	40731.93711932868	12778.273189936286
60806.40540869203	23140.8744091341	21848.85701391003	40731.93711932868	12778.273189936286
61687.65766099191	23140.8744091341	21848.85701391003	40731.93711932868	12778.273189936286
62568.909913291804	23140.8744091341	21848.85701391003	40731.93711932868	12778.273189936286
63450.1621655917	23140.091100452508	21847.803966173462	40731.93711932868	12775.665172111305
64331.41441789157	23137.68413167104	21847.723079069216	40727.43501240164	12771.009039850504
65212.66667019147	23135.417531493516	21844.64017618484	40727.43501240164	12751.264884664683
66093.91892249135	23127.365637563653	21833.728910781647	40721.07569635376	12726.429908087299
66975.171174791240	23126.401725528827	21832.84090227918	40721.07569635376	12716.477288039318
67856.42342709113	23127.502901716583	21830.664569624994	40727.43501240164	12710.87758446641
68737.67567939101	23123.423288287147	21829.461686905353	40731.93711932868	12689.179502525274
69618.92793169091	23118.62612843154	21827.327355723603	40731.93711932868	12658.060144588639
70500.18018399079	23115.925581814827	21827.283485471053	40736.92544907054	12644.907002884032
71381.432436290678	23116.000204544198	21827.283485471053	40736.92544907054	12644.459829761918
72262.68468859057	23115.776601729904	21827.283485471053	40736.92544907054	12641.23238273687
73143.93694089045	23115.776601729904	21827.283485471053	40736.92544907054	12641.23238273687
74025.189193190340	23114.656899316396	21827.23013442656	40736.92544907054	12640.14558479663
74906.44144549023	23114.656899316396	21827.23013442656	40736.92544907054	12640.14558479663
75787.693697790115	23114.656899316396	21827.23013442656	40736.92544907054	12640.14558479663
76668.94595009000	23114.656899316396	21827.23013442656	40736.92544907054	12640.14558479663
77550.1982023899	23114.656899316396	21827.23013442656	40736.92544907054	12640.14558479663
78431.450454689777	23114.656899316396	21827.23013442656	40736.92544907054	12640.14558479663
79312.70270698966	23114.656899316396	21827.23013442656	40736.92544907054	12640.14558479663
80193.95495928955	23114.656899316396	21827.23013442656	40736.92544907054	12640.14558479663
81075.20721158944	23114.656899316396	21827.23013442656	40736.92544907054	12640.14558479663
81956.45946388933	23114.52024944495	21827.23013442656	40754.83389220515	12639.15547502768
82837.711716189214	23114.948492661708	21827.23013442656	40754.83389220515	12639.15547502768
83718.96396848910	23115.802891146963	21827.283485471053	40754.83389220515	12639.15547502768
84600.21622078899	23114.800881887855	21827.283485471053	40736.92544907054	12639.15547502768
85481.46847308888	23120.342142976886	21828.51413527424	40754.83389220515	12644.459829761918
86362.72072538876	23130.24449397044	21843.50427506959	40771.271103395	12651.968847692564
