	Bayesian Skyline: cqHan_combine.log			
time	mean	median	upper	lower
17354.510080372267	279480.39805805625	277533.6132753448	342195.9819262847	227394.00468762877
18048.690483587157	279475.72360013606	277529.85483166145	342209.4222848452	227337.46371646062
18742.870886802048	279456.8773724909	277520.9917266909	342195.9819262847	227302.14131044902
19437.051290016938	279402.21196089743	277494.3922442774	342091.1320139811	227189.16095109482
20131.231693231828	279369.83185933303	277494.3922442774	341877.71748830867	227112.72401441782
20825.41209644672	279334.28655942105	277470.9057743605	341898.1703482702	226998.36547834481
21519.59249966161	279300.46414430224	277443.9492859874	342091.1320139811	226834.74097141429
22213.7729028765	279260.3160132653	277436.60211840784	341877.71748830867	226784.91758640888
22907.95330609139	279210.08997351344	277411.71589034045	341615.5651662697	226693.68348912065
23602.13370930628	279151.79838799534	277396.15201172914	341615.5651662697	226507.089382054
24296.31411252117	279054.16700562614	277297.8469266428	341527.26785102417	226173.02630455073
24990.49451573606	278904.8749609577	277191.51931961207	341441.56785691757	225740.47507753165
25684.67491895095	278789.52981655346	277126.05049328617	341393.5488202772	225256.84197136716
26378.85532216584	278670.22388757206	277080.30884579394	341232.81751134543	224964.07795465708
27073.03572538073	278603.090431789	277028.85133355967	341232.81751134543	224604.4278102022
27767.21612859562	278572.62766936596	277022.0192832976	341168.15627783304	224547.96398960016
28461.39653181051	278570.7044180362	277022.0192832976	341168.15627783304	224547.96398960016
29155.5769350254	278587.63149524305	277021.48480676964	341232.81751134543	224531.55649729422
29849.75733824029	278569.16663406586	277004.59413091507	341168.15627783304	224495.5646284347
30543.937741455182	278573.79300224176	277004.59413091507	341242.0273863814	224481.2870879222
31238.118144670072	278579.36287393974	277006.5074787973	341242.0273863814	224481.2870879222
31932.298547884962	278546.0779350488	277004.35200967605	341242.0273863814	224320.81773208824
32626.478951099853	278525.64688746	276995.3824861714	341242.0273863814	224257.24938729886
33320.65935431475	278500.4547981894	276993.6002877087	341357.37966151175	224068.55944566356
34014.83975752964	278318.2756085244	276930.31656574534	341357.37966151175	223340.2570890171
34709.020160744534	277999.7235102909	276864.1546839919	341406.77458744793	222118.5779042129
35403.20056395943	277047.3238470424	276764.7950831394	341393.5488202772	219729.45081583978
36097.38096717432	272111.36863853637	276061.51997583575	341232.81751134543	90797.91297974017
36791.561370389216	254617.5615384796	273417.94606973534	340506.89250830037	20864.702074975703
37485.74177360411	203517.00757015645	261774.38728260496	337224.06279839756	15983.839589848649
38179.922176819004	115738.70152488147	28645.690098419207	325986.5538500562	13855.628574933293
38874.1025800339	46711.08633997905	22839.57001181082	296295.0794713909	12962.252699710662
39568.28298324879	25141.47018825027	21906.7052026005	42869.20981470429	12755.518223088315
40262.463386463685	23240.039459265412	21832.84090227918	40997.16405671737	12771.009039850504
40956.64378967858	23130.289634294815	21833.728910781647	40731.93711932868	12771.009039850504
41650.82419289347	23144.555927824684	21854.040283094986	40736.92544907054	12775.665172111305
42345.00459610837	23144.061951917476	21848.85701391003	40736.92544907054	12778.273189936286
43039.18499932326	23140.8744091341	21848.85701391003	40731.93711932868	12778.273189936286
43733.365402538155	23140.8744091341	21848.85701391003	40731.93711932868	12778.273189936286
44427.54580575305	23140.8744091341	21848.85701391003	40731.93711932868	12778.273189936286
45121.72620896794	23140.8744091341	21848.85701391003	40731.93711932868	12778.273189936286
45815.90661218284	23140.8744091341	21848.85701391003	40731.93711932868	12778.273189936286
46510.08701539773	23140.8744091341	21848.85701391003	40731.93711932868	12778.273189936286
47204.267418612624	23140.8744091341	21848.85701391003	40731.93711932868	12778.273189936286
47898.44782182752	23140.8744091341	21848.85701391003	40731.93711932868	12778.273189936286
48592.62822504241	23140.8744091341	21848.85701391003	40731.93711932868	12778.273189936286
49286.808628257306	23140.8744091341	21848.85701391003	40731.93711932868	12778.273189936286
49980.9890314722	23140.091100452508	21847.803966173462	40731.93711932868	12775.665172111305
50675.16943468709	23137.68413167104	21847.723079069216	40727.43501240164	12771.009039850504
51369.34983790199	23135.417531493516	21844.64017618484	40727.43501240164	12751.264884664683
52063.53024111688	23127.365637563653	21833.728910781647	40721.07569635376	12726.429908087299
52757.710644331775	23126.401725528827	21832.84090227918	40721.07569635376	12716.477288039318
53451.89104754667	23127.502901716583	21830.664569624994	40727.43501240164	12710.87758446641
54146.07145076156	23123.423288287147	21829.461686905353	40731.93711932868	12689.179502525274
54840.25185397646	23118.62612843154	21827.327355723603	40731.93711932868	12658.060144588639
55534.43225719135	23115.925581814827	21827.283485471053	40736.92544907054	12644.907002884032
56228.612660406245	23116.000204544198	21827.283485471053	40736.92544907054	12644.459829761918
56922.79306362114	23115.776601729904	21827.283485471053	40736.92544907054	12641.23238273687
57616.97346683603	23115.776601729904	21827.283485471053	40736.92544907054	12641.23238273687
58311.153870050926	23114.656899316396	21827.23013442656	40736.92544907054	12640.14558479663
59005.33427326582	23114.656899316396	21827.23013442656	40736.92544907054	12640.14558479663
59699.514676480714	23114.656899316396	21827.23013442656	40736.92544907054	12640.14558479663
60393.69507969561	23114.656899316396	21827.23013442656	40736.92544907054	12640.14558479663
61087.8754829105	23114.656899316396	21827.23013442656	40736.92544907054	12640.14558479663
61782.055886125396	23114.656899316396	21827.23013442656	40736.92544907054	12640.14558479663
62476.23628934029	23114.656899316396	21827.23013442656	40736.92544907054	12640.14558479663
63170.41669255518	23114.656899316396	21827.23013442656	40736.92544907054	12640.14558479663
63864.59709577008	23114.656899316396	21827.23013442656	40736.92544907054	12640.14558479663
64558.77749898497	23114.52024944495	21827.23013442656	40754.83389220515	12639.15547502768
65252.957902199865	23114.948492661708	21827.23013442656	40754.83389220515	12639.15547502768
65947.13830541476	23115.802891146963	21827.283485471053	40754.83389220515	12639.15547502768
66641.31870862965	23114.800881887855	21827.283485471053	40736.92544907054	12639.15547502768
67335.49911184455	23120.342142976886	21828.51413527424	40754.83389220515	12644.459829761918
68029.67951505944	23130.24449397044	21843.50427506959	40771.271103395	12651.968847692564
